start_date,start_hour,start_minute,end_date,end_hour,end_minute,month,CATEGORY,START,STOP,MILES,PURPOSE,duration,speed
2016-01-01,21.0,11.0,2016-01-01,21.0,17.0,1,Business,Fort Pierce,Fort Pierce,8.207633999999999,Meal/Entertain,6.0,82.07633999999999
2016-01-02,1.0,25.0,2016-01-02,1.0,37.0,1,Business,Fort Pierce,Fort Pierce,8.0467,Meal/Entertain,12.0,40.23349999999999
2016-01-02,20.0,25.0,2016-01-02,20.0,38.0,1,Business,Fort Pierce,Fort Pierce,7.724831999999999,Errand/Supplies,13.0,35.653070769230766
2016-01-05,17.0,31.0,2016-01-05,17.0,45.0,1,Business,Fort Pierce,Fort Pierce,7.563898,Meeting,14.0,32.41670571428571
2016-01-06,14.0,42.0,2016-01-06,15.0,49.0,1,Business,Fort Pierce,West Palm Beach,102.51495800000001,Customer Visit,67.0,91.80444
2016-01-06,17.0,15.0,2016-01-06,17.0,19.0,1,Business,West Palm Beach,West Palm Beach,6.9201619999999995,Meal/Entertain,4.0,103.80242999999999
2016-01-06,17.0,30.0,2016-01-06,17.0,35.0,1,Business,West Palm Beach,Palm Beach,11.426314,Meeting,5.0,137.115768
2016-01-07,13.0,27.0,2016-01-07,13.0,33.0,1,Business,Cary,Cary,1.2874720000000002,Meeting,6.0,12.874720000000002
2016-01-10,8.0,5.0,2016-01-10,8.0,25.0,1,Business,Cary,Morrisville,13.357522000000001,Meeting,20.0,40.07256600000001
2016-01-10,12.0,17.0,2016-01-10,12.0,44.0,1,Business,Jamaica,New York,26.55411,Customer Visit,27.0,59.00913333333334
2016-01-10,15.0,8.0,2016-01-10,15.0,51.0,1,Business,New York,Queens,17.380872,Meeting,43.0,24.252379534883723
2016-01-10,18.0,18.0,2016-01-10,18.0,53.0,1,Business,Elmhurst,New York,12.07005,Meeting,35.0,20.691514285714284
2016-01-10,19.0,12.0,2016-01-10,19.0,32.0,1,Business,Midtown,East Harlem,9.977908000000001,Meeting,20.0,29.933724000000005
2016-01-11,8.0,55.0,2016-01-11,9.0,21.0,1,Business,East Harlem,NoMad,10.299776000000001,Temporary Site,26.0,23.768713846153847
2016-01-11,11.0,56.0,2016-01-11,12.0,3.0,1,Business,Flatiron District,Midtown,2.5749440000000003,Errand/Supplies,7.0,22.070948571428573
2016-01-11,13.0,32.0,2016-01-11,13.0,46.0,1,Business,Midtown,Midtown East,2.735878,Meal/Entertain,14.0,11.725191428571428
2016-01-11,14.0,30.0,2016-01-11,14.0,43.0,1,Business,Midtown East,Midtown,3.057746,Meal/Entertain,13.0,14.112673846153845
2016-01-12,12.0,33.0,2016-01-12,12.0,49.0,1,Business,Midtown,Hudson Square,3.057746,Meal/Entertain,16.0,11.466547499999999
2016-01-12,12.0,53.0,2016-01-12,13.0,9.0,1,Business,Hudson Square,Lower Manhattan,6.43736,Meal/Entertain,16.0,24.1401
2016-01-12,14.0,42.0,2016-01-12,14.0,56.0,1,Business,Lower Manhattan,Hudson Square,2.896812,Errand/Supplies,14.0,12.414908571428573
2016-01-12,15.0,13.0,2016-01-12,15.0,28.0,1,Business,Hudson Square,Hell's Kitchen,3.8624159999999996,Customer Visit,15.0,15.449663999999999
2016-01-12,15.0,42.0,2016-01-12,15.0,54.0,1,Business,Hell's Kitchen,Midtown,3.21868,Errand/Supplies,12.0,16.0934
2016-01-12,16.0,2.0,2016-01-12,17.0,0.0,1,Business,New York,Queens County,24.301033999999998,Meeting,58.0,25.13900068965517
2016-02-01,10.0,35.0,2016-02-01,11.0,15.0,2,Business,Cary,Chapel Hill,31.221196,Customer Visit,40.0,46.831794
2016-02-01,12.0,10.0,2016-02-01,12.0,43.0,2,Business,Chapel Hill,Cary,37.497622,Customer Visit,33.0,68.17749454545454
2016-02-01,12.0,56.0,2016-02-01,13.0,7.0,2,Business,Northwoods,Whitebridge,6.276426,Meal/Entertain,11.0,34.23505090909091
2016-02-02,13.0,4.0,2016-02-02,13.0,23.0,2,Business,Whitebridge,Williamsburg Manor,13.357522000000001,Meeting,19.0,42.181648421052635
2016-02-02,13.0,51.0,2016-02-02,14.0,6.0,2,Business,Cary,Cary,9.65604,Errand/Supplies,15.0,38.62416
2016-02-02,14.0,38.0,2016-02-02,14.0,42.0,2,Business,Cary,Cary,2.5749440000000003,Errand/Supplies,4.0,38.62416
2016-02-04,8.0,40.0,2016-02-04,9.0,1.0,2,Business,Cary,Morrisville,8.368568,Errand/Supplies,21.0,23.910194285714287
2016-02-04,9.0,37.0,2016-02-04,10.0,9.0,2,Business,Morrisville,Cary,15.610598,Meal/Entertain,32.0,29.269871249999998
2016-02-04,10.0,26.0,2016-02-04,10.0,32.0,2,Business,Cary,Cary,2.5749440000000003,Meal/Entertain,6.0,25.749440000000003
2016-02-04,15.0,59.0,2016-02-04,16.0,3.0,2,Business,Cary,Cary,1.7702740000000001,Meal/Entertain,4.0,26.55411
2016-02-04,16.0,35.0,2016-02-04,16.0,39.0,2,Business,Cary,Cary,2.5749440000000003,Meal/Entertain,4.0,38.62416
2016-02-04,18.0,4.0,2016-02-04,18.0,31.0,2,Business,Whitebridge,Macgregor Downs,14.48406,Meeting,27.0,32.1868
2016-02-04,20.0,36.0,2016-02-04,20.0,55.0,2,Business,Cary,Cary,12.391918,Meeting,19.0,39.13237263157895
2016-02-05,11.0,47.0,2016-02-05,12.0,7.0,2,Business,Cary,Durham,16.737136,Meeting,20.0,50.211408
2016-02-05,13.0,22.0,2016-02-05,13.0,41.0,2,Business,Durham,Cary,16.737136,Meeting,19.0,52.854113684210525
2016-02-06,16.0,20.0,2016-02-06,16.0,53.0,2,Business,Cary,Raleigh,18.346476,Between Offices,33.0,33.35722909090909
2016-02-06,18.0,57.0,2016-02-06,19.0,21.0,2,Business,Raleigh,Cary,14.48406,Errand/Supplies,24.0,36.21015
2016-02-06,19.0,28.0,2016-02-06,19.0,37.0,2,Business,Edgehill Farms,Whitebridge,5.149888000000001,Meal/Entertain,9.0,34.33258666666667
2016-02-07,16.0,49.0,2016-02-07,17.0,1.0,2,Business,Cary,Apex,9.012303999999999,Errand/Supplies,12.0,45.06151999999999
2016-02-07,18.0,3.0,2016-02-07,18.0,17.0,2,Business,Apex,Cary,9.173238,Customer Visit,14.0,39.31387714285714
2016-02-07,18.0,39.0,2016-02-07,18.0,53.0,2,Business,Cary,Morrisville,9.816974,Temporary Site,14.0,42.072745714285716
2016-02-07,20.0,22.0,2016-02-07,20.0,40.0,2,Business,Morrisville,Cary,9.816974,Meeting,18.0,32.72324666666667
2016-02-08,12.0,57.0,2016-02-08,13.0,8.0,2,Business,Whitebridge,Edgehill Farms,6.9201619999999995,Meal/Entertain,11.0,37.74633818181818
2016-02-08,14.0,0.0,2016-02-08,14.0,10.0,2,Business,Edgehill Farms,Whitebridge,4.345218,Meal/Entertain,10.0,26.071308000000002
2016-02-09,10.0,54.0,2016-02-09,11.0,7.0,2,Personal,Whitebridge,Northwoods,8.529501999999999,Meal/Entertain,13.0,39.3669323076923
2016-02-09,11.0,43.0,2016-02-09,11.0,50.0,2,Personal,Northwoods,Tanglewood,4.82802,Meal/Entertain,7.0,41.383028571428575
2016-02-09,13.0,36.0,2016-02-09,13.0,52.0,2,Personal,Tanglewood,Preston,8.207633999999999,Meal/Entertain,16.0,30.778627499999995
2016-02-09,13.0,58.0,2016-02-09,14.0,2.0,2,Personal,Preston,Whitebridge,2.41401,Meal/Entertain,4.0,36.210150000000006
2016-02-09,18.0,55.0,2016-02-09,19.0,11.0,2,Business,Cary,Morrisville,9.816974,Meal/Entertain,16.0,36.8136525
2016-02-09,20.0,24.0,2016-02-09,20.0,40.0,2,Business,Morrisville,Cary,9.816974,Meal/Entertain,16.0,36.8136525
2016-02-11,16.0,28.0,2016-02-11,17.0,10.0,2,Business,Cary,Raleigh,27.841582000000002,Meal/Entertain,42.0,39.77368857142858
2016-02-11,17.0,49.0,2016-02-11,18.0,10.0,2,Business,Eastgate,Walnut Terrace,9.173238,Meal/Entertain,21.0,26.209251428571427
2016-02-11,18.0,24.0,2016-02-11,18.0,46.0,2,Business,Raleigh,Morrisville,21.72609,Temporary Site,22.0,59.25297272727273
2016-02-11,20.0,36.0,2016-02-11,20.0,51.0,2,Business,Morrisville,Cary,9.816974,Temporary Site,15.0,39.267896
2016-02-12,8.0,21.0,2016-02-12,8.0,42.0,2,Business,Cary,Durham,13.67939,Temporary Site,21.0,39.08397142857143
2016-02-12,10.0,45.0,2016-02-12,10.0,52.0,2,Business,Durham,Morrisville,4.184284,Temporary Site,7.0,35.865291428571425
2016-02-12,11.0,14.0,2016-02-12,11.0,35.0,2,Business,Morrisville,Raleigh,27.35878,Customer Visit,21.0,78.16794285714286
2016-02-12,13.0,2.0,2016-02-12,13.0,36.0,2,Business,Raleigh,Cary,28.96812,Meeting,34.0,51.12021176470588
2016-02-12,14.0,49.0,2016-02-12,15.0,6.0,2,Business,Cary,Morrisville,13.518456,Meeting,17.0,47.71219764705883
2016-02-12,15.0,33.0,2016-02-12,16.0,6.0,2,Business,Morrisville,Cary,18.50741,Customer Visit,33.0,33.64983636363636
2016-03-01,18.0,47.0,2016-03-01,19.0,10.0,3,Business,Whitebridge,Wayne Ridge,12.87472,Meal/Entertain,23.0,33.58622608695652
2016-03-01,21.0,27.0,2016-03-01,21.0,45.0,3,Business,Wayne Ridge,Whitebridge,12.87472,Meeting,18.0,42.915733333333336
2016-03-03,9.0,45.0,2016-03-03,9.0,52.0,3,Personal,Whitebridge,Westpark Place,3.5405480000000003,Meeting,7.0,30.34755428571429
2016-03-03,11.0,4.0,2016-03-03,11.0,10.0,3,Business,Westpark Place,Whitebridge,3.7014819999999995,Errand/Supplies,6.0,37.01481999999999
2016-03-03,14.0,44.0,2016-03-03,14.0,58.0,3,Business,Whitebridge,Northwoods,8.368568,Meal/Entertain,14.0,35.865291428571425
2016-03-03,15.0,27.0,2016-03-03,15.0,48.0,3,Business,Cary,Raleigh,12.230984,Customer Visit,21.0,34.94566857142857
2016-03-03,16.0,2.0,2016-03-03,16.0,42.0,3,Business,Raleigh,Cary,27.841582000000002,Meeting,40.0,41.762373000000004
2016-03-04,7.0,47.0,2016-03-04,8.0,6.0,3,Business,Cary,Durham,15.932466,Meeting,19.0,50.31305052631579
2016-03-04,9.0,46.0,2016-03-04,10.0,3.0,3,Business,Durham,Cary,15.932466,Customer Visit,17.0,56.23223294117647
2016-03-04,11.0,46.0,2016-03-04,12.0,6.0,3,Business,Cary,Durham,16.737136,Meeting,20.0,50.211408
2016-03-04,13.0,3.0,2016-03-04,13.0,25.0,3,Business,Durham,Cary,17.541806,Meeting,22.0,47.8412890909091
2016-03-04,13.0,40.0,2016-03-04,14.0,9.0,3,Business,Cary,Raleigh,25.266638,Customer Visit,29.0,52.27580275862069
2016-03-04,15.0,56.0,2016-03-04,16.0,8.0,3,Business,Raleigh,Raleigh,7.885766,Meal/Entertain,12.0,39.42883
2016-03-04,16.0,16.0,2016-03-04,16.0,22.0,3,Business,Fayetteville Street,Depot Historic District,1.2874720000000002,Errand/Supplies,6.0,12.874720000000002
2016-03-04,16.0,43.0,2016-03-04,17.0,12.0,3,Business,Raleigh,Cary,21.72609,Meeting,29.0,44.95053103448276
2016-03-04,19.0,2.0,2016-03-04,19.0,8.0,3,Business,Cary,Morrisville,3.057746,Temporary Site,6.0,30.57746
2016-03-04,19.0,16.0,2016-03-04,19.0,25.0,3,Business,Morrisville,Cary,3.21868,Meal/Entertain,9.0,21.457866666666668
2016-03-05,11.0,44.0,2016-03-05,11.0,59.0,3,Business,Cary,Morrisville,10.46071,Meal/Entertain,15.0,41.84284
2016-03-05,12.0,57.0,2016-03-05,13.0,12.0,3,Personal,Weston,Weston,6.759228,Meal/Entertain,15.0,27.036912
2016-03-05,14.0,8.0,2016-03-05,14.0,18.0,3,Personal,Morrisville,Cary,5.63269,Meal/Entertain,10.0,33.79614
2016-03-05,14.0,39.0,2016-03-05,15.0,1.0,3,Business,Whitebridge,Wayne Ridge,12.552852,Meal/Entertain,22.0,34.23505090909091
2016-03-05,16.0,52.0,2016-03-05,17.0,13.0,3,Business,Cary,Morrisville,12.552852,Meal/Entertain,21.0,35.86529142857143
2016-03-05,17.0,23.0,2016-03-05,17.0,34.0,3,Business,Morrisville,Cary,6.276426,Meal/Entertain,11.0,34.23505090909091
2016-03-07,9.0,10.0,2016-03-07,9.0,20.0,3,Business,Whitebridge,Edgehill Farms,4.506151999999999,Errand/Supplies,10.0,27.036911999999997
2016-03-07,9.0,23.0,2016-03-07,9.0,47.0,3,Business,Cary,Raleigh,19.955816000000002,Customer Visit,24.0,49.889540000000004
2016-03-07,12.0,10.0,2016-03-07,12.0,26.0,3,Business,Fayetteville Street,Meredith Townes,9.495106,Customer Visit,16.0,35.6066475
2016-03-07,13.0,57.0,2016-03-07,14.0,18.0,3,Business,Meredith Townes,Leesville Hollow,15.127796,Meeting,21.0,43.22227428571429
2016-03-07,15.0,19.0,2016-03-07,15.0,45.0,3,Business,Raleigh,Cary,19.151146,Between Offices,26.0,44.194952307692304
2016-03-08,14.0,38.0,2016-03-08,14.0,55.0,3,Business,Whitebridge,Waverly Place,11.587248,Between Offices,17.0,40.89616941176471
2016-03-08,15.0,35.0,2016-03-08,16.0,0.0,3,Business,Waverly Place,Whitebridge,12.230984,Meal/Entertain,25.0,29.354361599999997
2016-03-08,16.0,13.0,2016-03-08,16.0,25.0,3,Personal,Whitebridge,Whitebridge,2.5749440000000003,Meal/Entertain,12.0,12.874720000000002
2016-03-10,3.0,36.0,2016-03-10,3.0,53.0,3,Business,Cary,Morrisville,13.518456,Meeting,17.0,47.71219764705883
2016-03-10,10.0,8.0,2016-03-10,10.0,37.0,3,Business,East Austin,West University,20.599552000000003,Meeting,29.0,42.619762758620695
2016-03-10,14.0,39.0,2016-03-10,14.0,55.0,3,Business,West University,South Congress,3.7014819999999995,Meeting,16.0,13.880557499999998
2016-03-10,16.0,18.0,2016-03-10,16.0,28.0,3,Business,South Congress,Arts District,2.5749440000000003,Meeting,10.0,15.449664000000002
2016-03-11,9.0,47.0,2016-03-11,9.0,59.0,3,Business,The Drag,Congress Ave District,3.21868,Meal/Entertain,12.0,16.0934
2016-03-11,10.0,29.0,2016-03-11,10.0,36.0,3,Business,Congress Ave District,Downtown,1.2874720000000002,Meal/Entertain,7.0,11.035474285714287
2016-03-11,11.0,57.0,2016-03-11,12.0,4.0,3,Business,Downtown,Red River District,1.9312079999999998,Meal/Entertain,7.0,16.553211428571426
2016-03-11,13.0,43.0,2016-03-11,13.0,51.0,3,Business,Red River District,Downtown,1.60934,Meal/Entertain,8.0,12.07005
2016-03-11,19.0,21.0,2016-03-11,19.0,35.0,3,Business,South Congress,The Drag,3.379614,Meal/Entertain,14.0,14.48406
2016-03-12,9.0,13.0,2016-03-12,9.0,22.0,3,Business,The Drag,South Congress,3.5405480000000003,Meal/Entertain,9.0,23.603653333333337
2016-03-12,18.0,27.0,2016-03-12,18.0,37.0,3,Personal,South Congress,The Drag,3.057746,Meal/Entertain,10.0,18.346476
2016-04-01,13.0,43.0,2016-04-01,14.0,1.0,4,Business,Kissimmee,Kissimmee,17.70274,Meeting,18.0,59.00913333333333
2016-04-01,14.0,36.0,2016-04-01,15.0,24.0,4,Business,Kissimmee,Orlando,24.94477,Customer Visit,48.0,31.180962499999996
2016-04-01,16.0,1.0,2016-04-01,16.0,49.0,4,Business,Orlando,Kissimmee,32.669602,Meeting,48.0,40.8370025
2016-04-01,16.0,52.0,2016-04-01,16.0,57.0,4,Personal,Kissimmee,Kissimmee,1.1265379999999998,Meeting,5.0,13.518455999999999
2016-04-02,8.0,48.0,2016-04-02,9.0,4.0,4,Personal,Kissimmee,Kissimmee,8.85137,Meeting,16.0,33.1926375
2016-04-02,11.0,1.0,2016-04-02,11.0,16.0,4,Personal,Kissimmee,Kissimmee,8.207633999999999,Meeting,15.0,32.830535999999995
2016-04-02,12.0,21.0,2016-04-02,14.0,47.0,4,Business,Kissimmee,Daytona Beach,124.40198199999999,Customer Visit,146.0,51.12410219178082
2016-04-02,16.0,57.0,2016-04-02,18.0,9.0,4,Business,Daytona Beach,Jacksonville,129.55187,Customer Visit,72.0,107.95989166666668
2016-04-02,19.0,38.0,2016-04-02,22.0,36.0,4,Business,Jacksonville,Ridgeland,280.34702799999997,Customer Visit,178.0,94.49899820224718
2016-04-03,2.0,0.0,2016-04-03,4.0,16.0,4,Business,Florence,Cary,256.367862,Meeting,136.0,113.10346852941177
2016-04-05,21.0,39.0,2016-04-05,21.0,55.0,4,Business,Whitebridge,Wayne Ridge,12.713786,Meal/Entertain,16.0,47.6766975
2016-04-06,0.0,19.0,2016-04-06,0.0,39.0,4,Business,Wayne Ridge,Whitebridge,12.87472,Meal/Entertain,20.0,38.62416
2016-04-07,18.0,20.0,2016-04-07,18.0,39.0,4,Business,Cary,Morrisville,9.816974,Meal/Entertain,19.0,31.00097052631579
2016-04-07,19.0,45.0,2016-04-07,20.0,0.0,4,Business,Morrisville,Cary,9.816974,Errand/Supplies,15.0,39.267896
2016-04-08,12.0,30.0,2016-04-08,12.0,48.0,4,Business,Cary,Durham,16.89807,Meeting,18.0,56.3269
2016-04-08,13.0,34.0,2016-04-08,13.0,51.0,4,Business,Durham,Cary,14.001257999999998,Meal/Entertain,17.0,49.41620470588235
2016-04-08,13.0,55.0,2016-04-08,14.0,3.0,4,Business,Westpark Place,Whitebridge,2.896812,Errand/Supplies,8.0,21.726090000000003
2016-04-08,14.0,43.0,2016-04-08,15.0,20.0,4,Business,Cary,Raleigh,30.738394000000003,Meeting,37.0,49.846044324324325
2016-04-08,16.0,5.0,2016-04-08,16.0,47.0,4,Business,Raleigh,Cary,29.933724,Meeting,42.0,42.762462857142864
2016-04-12,9.0,15.0,2016-04-12,9.0,26.0,4,Business,Whitebridge,Edgehill Farms,4.506151999999999,Errand/Supplies,11.0,24.579010909090908
2016-04-12,9.0,34.0,2016-04-12,9.0,53.0,4,Business,Cary,Raleigh,14.323126,Meeting,19.0,45.23092421052632
2016-04-12,10.0,58.0,2016-04-12,11.0,18.0,4,Business,Meredith,Cedar Hill,12.07005,Customer Visit,20.0,36.210150000000006
2016-04-12,12.0,22.0,2016-04-12,12.0,44.0,4,Business,Raleigh,Morrisville,25.588506,Meeting,22.0,69.78683454545455
2016-04-12,13.0,42.0,2016-04-12,14.0,1.0,4,Business,Morrisville,Cary,10.46071,Meal/Entertain,19.0,33.03382105263158
2016-05-01,13.0,45.0,2016-05-01,13.0,53.0,5,Business,Whitebridge,Westpark Place,3.379614,Meal/Entertain,8.0,25.347105000000003
2016-05-01,14.0,26.0,2016-05-01,14.0,31.0,5,Business,Westpark Place,Whitebridge,3.7014819999999995,Meal/Entertain,5.0,44.417784
2016-05-01,17.0,33.0,2016-05-01,17.0,45.0,5,Business,Whitebridge,Tanglewood,9.977908000000001,Between Offices,12.0,49.889540000000004
2016-05-01,17.0,54.0,2016-05-01,18.0,10.0,5,Business,Tanglewood,Parkway,12.07005,Meeting,16.0,45.2626875
2016-05-01,22.0,38.0,2016-05-01,22.0,49.0,5,Business,Parkway,Whitebridge,4.9889540000000006,Errand/Supplies,11.0,27.21247636363637
2016-05-02,14.0,14.0,2016-05-02,14.0,21.0,5,Business,Whitebridge,Westpark Place,3.5405480000000003,Errand/Supplies,7.0,30.34755428571429
2016-05-02,15.0,37.0,2016-05-02,15.0,48.0,5,Business,Westpark Place,Whitebridge,6.276426,Meal/Entertain,11.0,34.23505090909091
2016-05-03,22.0,20.0,2016-05-03,22.0,28.0,5,Business,Morrisville,Cary,4.02335,Meal/Entertain,8.0,30.175124999999998
